Neighbourhood ID,Neighbourhood Name,Neighbourhood Latitude,Neighbourhood Longitude,Venue ID,Venue Name,Venue Category,Venue Latitude,Venue Longitude
94,Wychwood,43.6769192679,-79.425514947,4b0df2fdf964a520095323e3,The Gem,Bar,43.674585355214134,-79.43194708186414
94,Wychwood,43.6769192679,-79.425514947,4bacc7b0f964a520b60b3be3,Alcoa Bakery,Bakery,43.67466299701965,-79.43134683331517
94,Wychwood,43.6769192679,-79.425514947,4cc89c8d5c17b60c6f4e0405,A Guy In A Store That Fixes Leather -Sandalman.com,Other Repair Shop,43.674315,-79.433377
94,Wychwood,43.6769192679,-79.425514947,4bae730cf964a520ddb33be3,Faema,Gourmet Shop,43.673809011492764,-79.43334128048585
94,Wychwood,43.6769192679,-79.425514947,4b4ace20f964a5207b8e26e3,Salto Restaurant & Bar,Italian Restaurant,43.673786,-79.433276
94,Wychwood,43.6769192679,-79.425514947,4bd9f9fb2a3a0f47bc25a9b6,Sandra's Grocery,Flower Shop,43.674351991964315,-79.43341966432885
94,Wychwood,43.6769192679,-79.425514947,562bd5ee498ef6d33064bf1c,The Sovereign,Café,43.6743263616395,-79.4334294223662
94,Wychwood,43.6769192679,-79.425514947,4bb66de32f70c9b6b0678530,Geary Ave Parkette,Playground,43.674356912166985,-79.43343000559923
94,Wychwood,43.6769192679,-79.425514947,4be9a20f61aca593c1c98200,Etherea Natural Foods,Gourmet Shop,43.67378397462999,-79.43327203894079
94,Wychwood,43.6769192679,-79.425514947,4df3c99488772e1f81552872,Done Xing Market,Convenience Store,43.67391608291066,-79.43037697646221
94,Wychwood,43.6769192679,-79.425514947,4d8fe809cb9b224bd1c3a541,Garrison Creek Park,Park,43.67168977827157,-79.42780494689941
94,Wychwood,43.6769192679,-79.425514947,4c840c82d8086dcbcfcb8552,Marian Engel Park,Park,43.67375357657298,-79.42398759247811
94,Wychwood,43.6769192679,-79.425514947,4ce588455fce5481cd1e5caa,Cho Cho Cho,Chinese Restaurant,43.680139022918006,-79.43289460634793
94,Wychwood,43.6769192679,-79.425514947,4dbb4f656a23e294ba11fb3e,Tenoch Restaurant Grill And Bar,Mexican Restaurant,43.679645367257024,-79.43522143285193
94,Wychwood,43.6769192679,-79.425514947,4b51efd9f964a520405c27e3,LCBO,Liquor Store,43.68020988451884,-79.4338334455083
94,Wychwood,43.6769192679,-79.425514947,4afc6ed3f964a520a82222e3,Wychwood Barns,Event Space,43.68002809008845,-79.42380960285216
94,Wychwood,43.6769192679,-79.425514947,4b86e89df964a52051a531e3,Wychwood Barns Farmers' Market,Farmers Market,43.68001040153905,-79.42384857341463
94,Wychwood,43.6769192679,-79.425514947,4aedbe8df964a52080ce21e3,Hillcrest Park,Park,43.67601214114849,-79.42478680222756
94,Wychwood,43.6769192679,-79.425514947,4db9d1f7ffcbcd48565df13a,Wychwood Barns Community Gallery,Art Gallery,43.67938613334865,-79.4242537010372
94,Wychwood,43.6769192679,-79.425514947,58ab4dbc3ef0f67e2fc14df4,Bob Coffee Bar,Coffee Shop,43.675376,-79.423268
94,Wychwood,43.6769192679,-79.425514947,4e89ae664690c079de1e7dfb,Tim Hortons,Coffee Shop,43.676842368071384,-79.41611051559447
94,Wychwood,43.6769192679,-79.425514947,4bf1c91578cec92810d2ba86,Mi Tierra,South American Restaurant,43.680618144484,-79.4311747955151
94,Wychwood,43.6769192679,-79.425514947,4bd9d220d2cbc928bc07d2ad,TD Canada Trust,Bank,43.680525103907264,-79.43233243656329
94,Wychwood,43.6769192679,-79.425514947,4bad6197f964a520254c3be3,Bavia Arts,Dance Studio,43.68027806281916,-79.433341
