Neighbourhood ID,Neighbourhood Name,Neighbourhood Latitude,Neighbourhood Longitude,Venue ID,Venue Name,Venue Category,Venue Latitude,Venue Longitude,within region
94,Wychwood,43.6769192679,-79.425514947,4b0df2fdf964a520095323e3,The Gem,Bar,43.674585355214134,-79.43194708186414,True
94,Wychwood,43.6769192679,-79.425514947,4bacc7b0f964a520b60b3be3,Alcoa Bakery,Bakery,43.67466299701965,-79.43134683331517,True
94,Wychwood,43.6769192679,-79.425514947,4cc89c8d5c17b60c6f4e0405,A Guy In A Store That Fixes Leather -Sandalman.com,Other Repair Shop,43.674315,-79.433377,True
94,Wychwood,43.6769192679,-79.425514947,4bae730cf964a520ddb33be3,Faema,Gourmet Shop,43.673809011492764,-79.43334128048585,True
94,Wychwood,43.6769192679,-79.425514947,4b4ace20f964a5207b8e26e3,Salto Restaurant & Bar,Italian Restaurant,43.673786,-79.433276,True
94,Wychwood,43.6769192679,-79.425514947,4bd9f9fb2a3a0f47bc25a9b6,Sandra's Grocery,Flower Shop,43.674351991964315,-79.43341966432885,True
94,Wychwood,43.6769192679,-79.425514947,562bd5ee498ef6d33064bf1c,The Sovereign,Café,43.6743263616395,-79.4334294223662,True
94,Wychwood,43.6769192679,-79.425514947,4bb66de32f70c9b6b0678530,Geary Ave Parkette,Playground,43.674356912166985,-79.43343000559923,True
94,Wychwood,43.6769192679,-79.425514947,4be9a20f61aca593c1c98200,Etherea Natural Foods,Gourmet Shop,43.67378397462999,-79.43327203894079,True
94,Wychwood,43.6769192679,-79.425514947,4df3c99488772e1f81552872,Done Xing Market,Convenience Store,43.67391608291066,-79.43037697646221,True
94,Wychwood,43.6769192679,-79.425514947,4d8fe809cb9b224bd1c3a541,Garrison Creek Park,Park,43.67168977827157,-79.42780494689941,True
94,Wychwood,43.6769192679,-79.425514947,4c840c82d8086dcbcfcb8552,Marian Engel Park,Park,43.67375357657298,-79.42398759247811,True
94,Wychwood,43.6769192679,-79.425514947,4ce588455fce5481cd1e5caa,Cho Cho Cho,Chinese Restaurant,43.680139022918006,-79.43289460634793,True
94,Wychwood,43.6769192679,-79.425514947,4dbb4f656a23e294ba11fb3e,Tenoch Restaurant Grill And Bar,Mexican Restaurant,43.679645367257024,-79.43522143285193,True
94,Wychwood,43.6769192679,-79.425514947,4b51efd9f964a520405c27e3,LCBO,Liquor Store,43.68020988451884,-79.4338334455083,True
94,Wychwood,43.6769192679,-79.425514947,4afc6ed3f964a520a82222e3,Wychwood Barns,Event Space,43.68002809008845,-79.42380960285216,True
94,Wychwood,43.6769192679,-79.425514947,4b86e89df964a52051a531e3,Wychwood Barns Farmers' Market,Farmers Market,43.68001040153905,-79.42384857341463,True
94,Wychwood,43.6769192679,-79.425514947,4aedbe8df964a52080ce21e3,Hillcrest Park,Park,43.67601214114849,-79.42478680222756,True
94,Wychwood,43.6769192679,-79.425514947,4db9d1f7ffcbcd48565df13a,Wychwood Barns Community Gallery,Art Gallery,43.67938613334865,-79.4242537010372,True
94,Wychwood,43.6769192679,-79.425514947,58ab4dbc3ef0f67e2fc14df4,Bob Coffee Bar,Coffee Shop,43.675376,-79.423268,True
94,Wychwood,43.6769192679,-79.425514947,4e89ae664690c079de1e7dfb,Tim Hortons,Coffee Shop,43.676842368071384,-79.41611051559447,True
94,Wychwood,43.6769192679,-79.425514947,4bf1c91578cec92810d2ba86,Mi Tierra,South American Restaurant,43.680618144484,-79.4311747955151,True
94,Wychwood,43.6769192679,-79.425514947,4bd9d220d2cbc928bc07d2ad,TD Canada Trust,Bank,43.680525103907264,-79.43233243656329,True
94,Wychwood,43.6769192679,-79.425514947,4bad6197f964a520254c3be3,Bavia Arts,Dance Studio,43.68027806281916,-79.433341,True
94,Wychwood,43.6769192679,-79.425514947,4b50ff62f964a520b43c27e3,Dragon Delight,Chinese Restaurant,43.68076539930795,-79.43107936159058,True
94,Wychwood,43.6769192679,-79.425514947,52418b0b7e48222eea81d2d2,Pukka Restaurant,Indian Restaurant,43.68105502412986,-79.4291869567722,True
94,Wychwood,43.6769192679,-79.425514947,4ada3289f964a520d71f21e3,The Stockyards,BBQ Joint,43.681570353914765,-79.4262096115835,True
94,Wychwood,43.6769192679,-79.425514947,5748bdbf498e3b6d10222371,Bar Ape,Ice Cream Shop,43.68157039469145,-79.42779661718437,True
94,Wychwood,43.6769192679,-79.425514947,4aeb7abbf964a52080c221e3,Ferro Bar Cafe,Italian Restaurant,43.68107983140924,-79.4285699237273,True
94,Wychwood,43.6769192679,-79.425514947,53553241498ec641e3a6b798,Baker and Scone,Café,43.68161443045213,-79.42607528989137,True
94,Wychwood,43.6769192679,-79.425514947,55a192fb498eba3d2ffb5cc1,Krave Coffee,Coffee Shop,43.68074046687234,-79.42941660923084,True
94,Wychwood,43.6769192679,-79.425514947,513b869de4b02424662a1f42,Asada Mexican Grill,Mexican Restaurant,43.68063435437249,-79.43071960521455,True
94,Wychwood,43.6769192679,-79.425514947,4ae45ae0f964a5201d9a21e3,Pain Perdu,American Restaurant,43.68140733172792,-79.42733237382963,True
94,Wychwood,43.6769192679,-79.425514947,51e4b251498e1df3a736a016,Aviv,Jewish Restaurant,43.6807858,-79.4291666,True
94,Wychwood,43.6769192679,-79.425514947,4ae09642f964a520a68021e3,Savera Indian Cuisine,Indian Restaurant,43.68057841847422,-79.4308324116619,True
94,Wychwood,43.6769192679,-79.425514947,4b0c689af964a520a63c23e3,The Rushton,Restaurant,43.68138642185842,-79.42780059787597,True
94,Wychwood,43.6769192679,-79.425514947,51d62df3498e4812ead1ca3a,South St. Burger,Burger Joint,43.681229019712596,-79.42792927601594,True
94,Wychwood,43.6769192679,-79.425514947,581cc52b8d169071e52cde38,NODO,Italian Restaurant,43.681156,-79.429857,True
94,Wychwood,43.6769192679,-79.425514947,4fd28998e4b03f13ec1d37f9,The Piper's Pub,Restaurant,43.68103119111243,-79.42934478370216,True
94,Wychwood,43.6769192679,-79.425514947,4b80810ff964a520367830e3,Nama Sushi,Sushi Restaurant,43.681255,-79.42816,True
94,Wychwood,43.6769192679,-79.425514947,4bf5bea95e800f47ed1ee6d4,McDonald's,Fast Food Restaurant,43.68175823904737,-79.42694977578196,True
94,Wychwood,43.6769192679,-79.425514947,4c0bb1546071a593e090e132,Dimitra's Bistro,Greek Restaurant,43.680981,-79.429291,True
94,Wychwood,43.6769192679,-79.425514947,4b6f0c25f964a52060d92ce3,CocoaLatte,Café,43.68176818183194,-79.42515763384645,True
94,Wychwood,43.6769192679,-79.425514947,4b5b534cf964a520b4f428e3,Churrasco of St. Clair,Portuguese Restaurant,43.68168056638893,-79.42545291671884,True
94,Wychwood,43.6769192679,-79.425514947,4b815c39f964a52072a130e3,Leah's,Bakery,43.682052866903014,-79.42354681657915,True
94,Wychwood,43.6769192679,-79.425514947,5047c42ee4b0451520815721,Moong Sushi,Sushi Restaurant,43.68254492330092,-79.42194999656803,True
94,Wychwood,43.6769192679,-79.425514947,4b2ad6e0f964a5209cb024e3,Vannis Bar & Grill,Italian Restaurant,43.68182171159587,-79.4253678427442,True
94,Wychwood,43.6769192679,-79.425514947,53dec142498e2c0cf1b311b1,Sea Witch Fish and Chips,Fish & Chips Shop,43.68211157702951,-79.42397462795375,True
94,Wychwood,43.6769192679,-79.425514947,4b5b9cd0f964a520f10a29e3,Mezzetta,Mediterranean Restaurant,43.681652028150964,-79.425435746772,True
94,Wychwood,43.6769192679,-79.425514947,57acf896498e5988a81250aa,Lasa by Lamesa,Filipino Restaurant,43.68219624717089,-79.42325592041016,True
94,Wychwood,43.6769192679,-79.425514947,4af87f52f964a520d30d22e3,El Rincon Mexicano,Mexican Restaurant,43.68193784455996,-79.42452611263825,True
94,Wychwood,43.6769192679,-79.425514947,5ab5ab956a5950151bd1e7d6,Tim Hortons,Coffee Shop,43.682716,-79.42117,True
94,Wychwood,43.6769192679,-79.425514947,4ae4c52cf964a520f79d21e3,World Class Bakers,Bakery,43.68160556861528,-79.42576614093647,True
94,Wychwood,43.6769192679,-79.425514947,4d3a0fee49cb236ae622b647,Chuck & Co.,Burger Joint,43.68175,-79.425295,True
94,Wychwood,43.6769192679,-79.425514947,4db5988ea86e8d27079aa34d,Clay,Shop & Service,43.681766,-79.424753,True
94,Wychwood,43.6769192679,-79.425514947,595aa8ec1c0b3450c991b138,Hone Fitness,Gym / Fitness Center,43.68247979910551,-79.42159990333198,True
94,Wychwood,43.6769192679,-79.425514947,4c7ff5412f1c236aed5a2243,Convenience,Convenience Store,43.681652686456566,-79.42557820449412,True
94,Wychwood,43.6769192679,-79.425514947,4ad4c05cf964a52018f620e3,Dutch Dreams,Ice Cream Shop,43.68218165964713,-79.41889275697524,True
94,Wychwood,43.6769192679,-79.425514947,5557fce2498e63ff8af4ce9f,Booyah,Ice Cream Shop,43.681743588143384,-79.41801062262026,True
